Link,Title,Location,Summary
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47388645,반도체 전략 및 기업개발 SCD 시니어 디렉터까지,경기성남시 분당구,"사업기획, 전략기획, 신사업기획, 기획, CEO 외 등록일 24/01/16"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47394252,MX Senior Account Manager,경기성남시 분당구,"기술영업, IT영업, 유통영업, 회로설계, 반도체 외 등록일 24/01/17"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47375958,[CREVERSE] Full-time or Short-term English Teaching Position,서울강남구,"원어민강사, 학원강사, 영어, 어학원, 영어학원 외 수정일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47380823,[외국계법인] SCM Assistant Manager 신입,서울강남구,"경영지원, 무역사무원, 글로벌마케팅, SCM, 문서작성 외 등록일 24/01/16"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47340105,"경력직 공무 관리자 - 설비 보전, 전기(전기기사, 전기산업기사)",충남논산시,"공무, 설비보수, 전기기사, 기타제조업 수정일 24/01/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47363613,Business Development Associate,아시아·중동필리핀,"카지노, 호텔, 카지노 등록일 24/01/12"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47378454,독일계 자동차기업 [Senior Sales Planner] 과장급 채용,서울중구,"자동차딜러, 자동차매장 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47371258,외국계도장설비기업-컨베이어 설계 및 설비이전 엔지니어,서울구로구,"기술엔지니어, 설계엔지니어, 기계설계, 기구설계, 기술설계 외 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47326304,"(주)에프엔블럭 ERP 프로젝트 매니저(PM, 컨설턴트) 신입 모집",서울송파구,"IT컨설팅, 솔루션, ERP, 컨설턴트, PM(프로젝트매니저) 외 수정일 24/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47337855,[TmaxRG] 마케팅/경영기획/기술 영업 채용,경기성남시 분당구,"기술영업, 솔루션기술영업, 시스템영업, 영업마케팅, 영업전략 외 등록일 24/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47391583,20. [Entertainment] IP전략기획팀(신입/경력) 채용,서울강남구,"사업기획, 전략기획, 사업개발, 사업관리, 신사업기획 외 등록일 24/01/17"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47293475,Operation (Shipping),서울중구,"해상운송, 해상운송 수정일 24/01/03"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47096566,[독일계/자동차IT기업] 차량통신 소프트웨어 엔지니어,서울용산구,"기술지원, 솔루션, 네트워크, C#, C++ 외 등록일 23/12/01"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47146898,인천공항 ULD 수리샵 지점장 모집 공고,인천중구,"사업관리, 항공사 수정일 23/12/12"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47131355,(정규직) 국제/외국인학교 각 부문 신입/경력직 모집,서울서초구,"사무직, 면접/인터뷰, 인사행정, 경영기획, 사업기획 외 등록일 23/12/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47363569,International Premium Host,아시아·중동필리핀,"카지노, 호텔, 카지노 등록일 24/01/12"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47371271,외국계도장설비기업-Project Manager,서울구로구,"기술엔지니어, 기계설계, 2D설계, 3D설계, 도장/도금/도색 외 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47405192,탑티어 엔터사 IP사업부문 전략기획팀(3년차 이상),서울강남구,"IP(지식재산권), 사업기획, 전략기획, 사업개발, 신사업기획 외 등록일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47256642,"[글로벌 제약사] Medical Advisor, Liver Disease",서울송파구,"제약/바이오, 의약·제약 등록일 23/12/28"
